====================================================================================================
STEADY STATE: mean nonRefundableStorageFee (MIST burned) per op

--- place_top ---
depth            A           B         C16        C16u         D32         D64        D64u
    0      162,919     174,623     174,623     174,623     174,623     174,623     174,623
    5      191,976     238,564     209,760     209,760     209,760     209,760     209,760
   10      244,061     286,444     251,560     251,560     251,560     251,560     251,560
   15      263,416     350,689     293,360     293,360     293,360     293,360     293,360
   20      299,136     315,324     315,805     299,440     335,160     335,160     335,160
   30      370,576     344,204     311,600     311,600     418,760     418,760     418,760
   45      477,736     354,084     329,840     329,840     422,712     544,160     544,160
   60      584,896     363,964     348,080     364,445     426,664     669,560     669,560
  100      864,576     400,444     384,560     384,560     506,819     491,720     491,720
  150    1,191,452     417,164     384,560     384,560     498,864     598,880     615,245
  300    2,171,852     400,444     400,925     384,560     477,432     670,320     670,320

--- cancel_top ---
depth            A           B         C16        C16u         D32         D64        D64u
    0      163,400     200,260     176,320     176,320     176,320     176,320     176,320
    5      199,120     248,140     218,120     218,120     218,120     218,120     218,120
   10      234,840     296,020     259,920     259,920     259,920     259,920     259,920
   15      270,560     343,900     301,720     301,720     301,720     301,720     301,720
   20      306,280     324,900     307,800     307,800     343,520     343,520     343,520
   30      377,720     353,780     319,960     319,960     427,120     427,120     427,120
   45      484,880     363,660     338,200     338,200     431,072     552,520     552,520
   60      592,040     373,540     356,440     356,440     435,024     677,920     677,920
  100      871,720     410,020     392,920     392,920     392,920     500,080     500,080
  150    1,198,596     426,740     392,920     392,920     507,224     607,240     607,240
  300    2,178,996     410,020     392,920     392,920     485,792     678,680     678,680

--- place_28 ---
depth            A           B         C16        C16u         D32         D64        D64u
    0      156,256     167,960     167,960     167,960     167,960     167,960     167,960
    5      191,976     238,564     209,760     209,760     209,760     209,760     209,760
   10      227,696     286,444     251,560     251,560     251,560     251,560     251,560
   15      263,416     334,324     293,360     293,360     293,360     293,360     293,360
   20      299,136     281,884     363,964     363,964     335,160     335,160     335,160
   30      370,576     294,044     459,724     459,724     418,760     418,760     418,760
   45      477,736     312,284     469,604     469,604     520,676     544,160     544,160
   60      584,896     330,524     437,684     437,684     532,988     669,560     669,560
  100      864,576     367,004     474,164     474,164     474,164     516,268     491,720
  150    1,191,452     367,004     532,684     532,684     498,864     598,880     598,880
  300    2,171,852     367,004     474,164     474,164     684,418     670,320     670,320

--- cancel_28 ---
depth            A           B         C16        C16u         D32         D64        D64u
    0      163,400     200,260     176,320     176,320     176,320     176,320     176,320
    5      199,120     248,140     242,060     242,060     242,060     242,060     242,060
   10      234,840     296,020     283,860     283,860     283,860     283,860     283,860
   15      270,560     343,900     325,660     325,660     325,660     325,660     325,660
   20      306,280     291,460     373,540     373,540     367,460     367,460     367,460
   30      377,720     303,620     469,300     469,300     427,120     427,120     427,120
   45      484,880     321,860     479,180     479,180     530,252     552,520     552,520
   60      592,040     340,100     447,260     447,260     542,564     677,920     677,920
  100      871,720     376,580     483,740     483,740     483,740     500,080     500,080
  150    1,198,596     376,580     542,260     542,260     507,224     607,240     607,240
  300    2,178,996     376,580     483,740     483,740     576,612     678,680     678,680

--- modify_down ---
depth            A           B         C16        C16u         D32         D64        D64u
    0            -           -           -           -           -           -           -
    5      159,828     148,048     174,572     174,572     174,572     174,572     174,572
   10      192,508     189,848     210,292     210,292     210,292     210,292     210,292
   15      225,188     231,648     246,012     246,012     246,012     246,012     246,012
   20      257,868     173,128     148,048     148,048     281,732     281,732     281,732
   30      323,228     173,128     231,648     231,648     353,172     353,172     353,172
   45      421,268     173,128     223,288     223,288     338,884     460,332     460,332
   60      519,308     173,128     214,928     214,928     189,848     567,492     567,492
  100      780,748     173,128     214,928     214,928     214,928     353,172     353,172
  150    1,107,624     173,128     231,648     231,648     360,316     460,332     460,332
  300    2,088,024     173,128     214,928     214,928     338,884     531,772     531,772

--- cancel_resting ---
depth            A           B         C16        C16u         D32         D64        D64u
    0            -           -           -           -           -           -           -
    5      191,976     238,564     209,760     209,760     209,760     209,760     209,760
   10      227,696     286,444     251,560     251,560     251,560     251,560     251,560
   15      263,416     334,324     293,360     293,360     293,360     293,360     293,360
   20      299,136     426,664     363,964     363,964     335,160     335,160     335,160
   30      370,576     407,208     459,724     459,724     418,760     418,760     418,760
   45      477,736     518,700     469,604     469,604     422,712     544,160     544,160
   60      584,896     540,588     479,484     479,484     532,988     669,560     669,560
  100      864,576     586,188     515,964     515,964     515,964     491,720     491,720
  150    1,173,212     560,652     496,204     496,204     462,384     562,400     562,400
  300    2,135,372     558,828     443,004     443,004     404,472     597,360     597,360

--- taker_1 ---
depth            A           B         C16        C16u         D32         D64        D64u
    0            -           -           -           -           -           -           -
    5      270,180     316,768     311,904     231,724     311,904     311,904     280,820
   10      305,900     364,648     322,620     322,620     322,620     322,620     322,620
   15      341,620     412,528     364,420     364,420     364,420     364,420     364,420
   20      377,340     368,448     377,644     377,644     406,220     406,220     406,220
   30      448,780     422,408     389,804     389,804     496,964     496,964     496,964
   45      555,940     432,288     408,044     408,044     493,772     622,364     622,364
   60      663,100     442,168     426,284     426,284     504,868     747,764     747,764
  100      894,140     381,368     365,484     365,484     365,484     472,644     472,644
  150    1,251,416     458,888     426,284     426,284     540,588     640,604     640,604
  300    2,213,576     405,688     389,804     389,804     475,532     675,564     675,564

--- taker_10 ---
depth            A           B         C16        C16u         D32         D64        D64u
    0            -           -           -           -           -           -           -
    5            -           -           -           -           -           -           -
   10      365,332     424,080     413,136     413,136     413,136     413,136     413,136
   15      401,052     471,960     454,936     423,852     454,936     454,936     423,852
   20      436,772     564,300     501,600     437,076     465,652     465,652     465,652
   30      508,212     660,060     597,360     449,236     556,396     556,396     556,396
   45      615,372     673,588     810,008     467,476     553,204     681,796     681,796
   60      722,532     687,116     823,536     485,716     564,300     807,196     807,196
  100      953,572     635,436     771,856     424,916     771,856     532,076     532,076
  150    1,310,848     723,900     633,840     485,716     600,020     700,036     700,036
  300    2,273,008     705,356     841,776     449,236     534,964     734,996     734,996

--- taker_30 ---
depth            A           B         C16        C16u         D32         D64        D64u
    0            -           -           -           -           -           -           -
    5            -           -           -           -           -           -           -
   10            -           -           -           -           -           -           -
   15            -           -           -           -           -           -           -
   20            -           -           -           -           -           -           -
   30      508,212     684,608     645,468     597,360     556,396     556,396     556,396
   45      615,372     877,344     838,204     810,008     770,868     681,796     681,796
   60      722,532     980,476   1,006,392     913,140     964,820     807,196     807,196
  100    1,007,076   1,037,020   1,062,936     969,684   1,110,968   1,171,160     640,300
  150    1,310,848     927,656   1,067,724     860,320     970,976     700,036     700,036
  300    2,273,008     998,716   1,024,632     931,380   1,071,448     734,996     734,996

====================================================================================================
STEADY STATE: mean computationCost per op (buckets of ~3%)

--- place_top ---
depth            A           B         C16        C16u         D32         D64        D64u
    0    1,713,333   1,760,000   1,753,333   1,753,333   1,753,333   1,753,333   1,753,333
    5    1,720,000   1,760,000   1,760,000   1,760,000   1,760,000   1,760,000   1,760,000
   10    1,720,000   1,760,000   1,760,000   1,760,000   1,760,000   1,760,000   1,760,000
   15    1,720,000   1,760,000   1,760,000   1,760,000   1,760,000   1,760,000   1,760,000
   20    1,720,000   1,760,000   1,760,000   1,760,000   1,760,000   1,760,000   1,760,000
   30    1,730,000   1,770,000   1,760,000   1,760,000   1,770,000   1,770,000   1,770,000
   45    1,730,000   1,770,000   1,770,000   1,770,000   1,770,000   1,770,000   1,770,000
   60    1,740,000   1,770,000   1,770,000   1,770,000   1,770,000   1,780,000   1,780,000
  100    1,750,000   1,780,000   1,770,000   1,770,000   1,836,667   1,780,000   1,780,000
  150    1,760,000   1,780,000   1,770,000   1,770,000   1,780,000   1,780,000   1,780,000
  300    1,790,000   1,780,000   1,770,000   1,770,000   1,780,000   1,780,000   1,780,000

--- taker_1 ---
depth            A           B         C16        C16u         D32         D64        D64u
    0            -           -           -           -           -           -           -
    5    1,750,000   1,790,000   1,790,000   1,790,000   1,790,000   1,800,000   1,790,000
   10    1,750,000   1,800,000   1,790,000   1,790,000   1,790,000   1,790,000   1,790,000
   15    1,760,000   1,800,000   1,790,000   1,790,000   1,790,000   1,790,000   1,790,000
   20    1,760,000   1,800,000   1,790,000   1,790,000   1,790,000   1,790,000   1,790,000
   30    1,770,000   1,800,000   1,790,000   1,790,000   1,800,000   1,800,000   1,800,000
   45    1,780,000   1,810,000   1,800,000   1,800,000   1,800,000   1,800,000   1,800,000
