Burned storage fee (nonRefundableStorageFee), MIST

op                depth     reference      measured       delta    
-------------------------------------------------------------------
place_top             0       174,623       158,257       -9.4%  <-
place_top             5       209,760       209,760        0.0%
place_top            10       251,560       251,560        0.0%
place_top            15       293,360       293,360        0.0%
place_top            20       299,440       299,440        0.0%
place_top            30       311,600       311,600        0.0%
place_top            45       329,840       329,840        0.0%
place_top            60       364,445       348,080       -4.5%  <-
place_top           100       384,560       384,560        0.0%
place_top           150       384,560       384,560        0.0%
place_top           300       384,560       384,560        0.0%
cancel_top            0       176,320       176,320        0.0%
cancel_top            5       218,120       218,120        0.0%
cancel_top           10       259,920       259,920        0.0%
cancel_top           15       301,720       301,720        0.0%
cancel_top           20       307,800       307,800        0.0%
cancel_top           30       319,960       319,960        0.0%
cancel_top           45       338,200       338,200        0.0%
cancel_top           60       356,440       356,440        0.0%
cancel_top          100       392,920       392,920        0.0%
cancel_top          150       392,920       392,920        0.0%
cancel_top          300       392,920       392,920        0.0%
place_28              0       167,960       167,960        0.0%
place_28              5       209,760       209,760        0.0%
place_28             10       251,560       251,560        0.0%
place_28             15       293,360       293,360        0.0%
place_28             20       363,964       363,964        0.0%
place_28             30       459,724       459,724        0.0%
place_28             45       469,604       469,604        0.0%
place_28             60       437,684       437,684        0.0%
place_28            100       474,164       474,164        0.0%
place_28            150       532,684       532,684        0.0%
place_28            300       474,164       474,164        0.0%
cancel_28             0       176,320       176,320        0.0%
cancel_28             5       242,060       242,060        0.0%
cancel_28            10       283,860       283,860        0.0%
cancel_28            15       325,660       325,660        0.0%
cancel_28            20       373,540       373,540        0.0%
cancel_28            30       469,300       469,300        0.0%
cancel_28            45       479,180       479,180        0.0%
cancel_28            60       447,260       447,260        0.0%
cancel_28           100       483,740       483,740        0.0%
cancel_28           150       542,260       542,260        0.0%
cancel_28           300       483,740       483,740        0.0%
modify_down           5       174,572       174,572        0.0%
modify_down          10       210,292       210,292        0.0%
modify_down          15       246,012       246,012        0.0%
modify_down          20       148,048       148,048        0.0%
modify_down          30       231,648       231,648        0.0%
modify_down          45       223,288       223,288        0.0%
modify_down          60       214,928       214,928        0.0%
modify_down         100       214,928       214,928        0.0%
modify_down         150       231,648       231,648        0.0%
modify_down         300       214,928       214,928        0.0%
cancel_resting        5       209,760       209,760        0.0%
cancel_resting       10       251,560       251,560        0.0%
cancel_resting       15       293,360       293,360        0.0%
cancel_resting       20       363,964       363,964        0.0%
cancel_resting       30       459,724       459,724        0.0%
cancel_resting       45       469,604       469,604        0.0%
cancel_resting       60       479,484       479,484        0.0%
cancel_resting      100       515,964       515,964        0.0%
cancel_resting      150       496,204       496,204        0.0%
cancel_resting      300       443,004       443,004        0.0%
taker_1               5       231,724       231,724        0.0%
taker_1              10       322,620       322,620        0.0%
taker_1              15       364,420       364,420        0.0%
taker_1              20       377,644       377,644        0.0%
taker_1              30       389,804       389,804        0.0%
taker_1              45       408,044       408,044        0.0%
taker_1              60       426,284       426,284        0.0%
taker_1             100       365,484       365,484        0.0%
taker_1             150       426,284       426,284        0.0%
taker_1             300       389,804       389,804        0.0%
taker_10             10       413,136       413,136        0.0%
taker_10             15       423,852       423,852        0.0%
taker_10             20       437,076       437,076        0.0%
taker_10             30       449,236       449,236        0.0%
taker_10             45       467,476       467,476        0.0%
taker_10             60       485,716       485,716        0.0%
taker_10            100       424,916       424,916        0.0%
taker_10            150       485,716       485,716        0.0%
taker_10            300       449,236       449,236        0.0%
taker_30             30       597,360       597,360        0.0%
taker_30             45       810,008       810,008        0.0%
taker_30             60       913,140       913,140        0.0%
taker_30            100       969,684       969,684        0.0%
taker_30            150       860,320       860,320        0.0%
taker_30            300       931,380       932,596        0.1%

Computation, MIST

op                depth     reference      measured       delta    
-------------------------------------------------------------------
place_top             0     1,753,333     1,750,000       -0.2%
place_top             5     1,760,000     1,750,000       -0.6%
place_top            10     1,760,000     1,750,000       -0.6%
place_top            15     1,760,000     1,750,000       -0.6%
place_top            20     1,760,000     1,750,000       -0.6%
place_top            30     1,760,000     1,760,000        0.0%
place_top            45     1,770,000     1,760,000       -0.6%
place_top            60     1,770,000     1,760,000       -0.6%
place_top           100     1,770,000     1,770,000        0.0%
place_top           150     1,770,000     1,770,000        0.0%
place_top           300     1,770,000     1,770,000        0.0%
cancel_top            0     1,730,000     1,730,000        0.0%
cancel_top            5     1,740,000     1,730,000       -0.6%
cancel_top           10     1,740,000     1,730,000       -0.6%
cancel_top           15     1,740,000     1,730,000       -0.6%
cancel_top           20     1,740,000     1,730,000       -0.6%
cancel_top           30     1,740,000     1,740,000        0.0%
cancel_top           45     1,740,000     1,740,000        0.0%
cancel_top           60     1,750,000     1,740,000       -0.6%
cancel_top          100     1,750,000     1,750,000        0.0%
cancel_top          150     1,750,000     1,750,000        0.0%
cancel_top          300     1,750,000     1,750,000        0.0%
place_28              0     1,750,000     1,750,000        0.0%
place_28              5     1,760,000     1,750,000       -0.6%
place_28             10     1,760,000     1,750,000       -0.6%
place_28             15     1,760,000     1,760,000        0.0%
place_28             20     1,760,000     1,760,000        0.0%
place_28             30     1,770,000     1,760,000       -0.6%
place_28             45     1,770,000     1,770,000        0.0%
place_28             60     1,770,000     1,770,000        0.0%
place_28            100     1,780,000     1,770,000       -0.6%
place_28            150     1,780,000     1,780,000        0.0%
place_28            300     1,780,000     1,780,000        0.0%
cancel_28             0     1,730,000     1,730,000        0.0%
cancel_28             5     1,740,000     1,730,000       -0.6%
cancel_28            10     1,740,000     1,730,000       -0.6%
cancel_28            15     1,740,000     1,740,000        0.0%
cancel_28            20     1,750,000     1,740,000       -0.6%
cancel_28            30     1,750,000     1,740,000       -0.6%
cancel_28            45     1,750,000     1,750,000        0.0%
cancel_28            60     1,760,000     1,750,000       -0.6%
cancel_28           100     1,760,000     1,760,000        0.0%
cancel_28           150     1,760,000     1,760,000        0.0%
cancel_28           300     1,760,000     1,760,000        0.0%
modify_down           5     1,740,000     1,730,000       -0.6%
modify_down          10     1,740,000     1,730,000       -0.6%
modify_down          15     1,740,000     1,740,000        0.0%
modify_down          20     1,750,000     1,740,000       -0.6%
modify_down          30     1,750,000     1,750,000        0.0%
modify_down          45     1,750,000     1,750,000        0.0%
modify_down          60     1,750,000     1,750,000        0.0%
modify_down         100     1,760,000     1,750,000       -0.6%
modify_down         150     1,760,000     1,750,000       -0.6%
modify_down         300     1,760,000     1,750,000       -0.6%
cancel_resting        5     1,740,000     1,730,000       -0.6%
cancel_resting       10     1,740,000     1,730,000       -0.6%
cancel_resting       15     1,740,000     1,740,000        0.0%
cancel_resting       20     1,740,000     1,740,000        0.0%
cancel_resting       30     1,750,000     1,740,000       -0.6%
cancel_resting       45     1,750,000     1,750,000        0.0%
cancel_resting       60     1,760,000     1,750,000       -0.6%
cancel_resting      100     1,760,000     1,760,000        0.0%
cancel_resting      150     1,760,000     1,750,000       -0.6%
cancel_resting      300     1,750,000     1,750,000        0.0%
taker_1               5     1,790,000     1,780,000       -0.6%
taker_1              10     1,790,000     1,780,000       -0.6%
taker_1              15     1,790,000     1,780,000       -0.6%
taker_1              20     1,790,000     1,790,000        0.0%
taker_1              30     1,790,000     1,790,000        0.0%
taker_1              45     1,800,000     1,790,000       -0.6%
taker_1              60     1,800,000     1,790,000       -0.6%
taker_1             100     1,790,000     1,780,000       -0.6%
taker_1             150     1,800,000     1,790,000       -0.6%
taker_1             300     1,790,000     1,790,000        0.0%
taker_10             10     1,970,000     1,960,000       -0.5%
taker_10             15     1,970,000     1,960,000       -0.5%
taker_10             20     1,980,000     1,980,000        0.0%
taker_10             30     2,010,000     2,000,000       -0.5%
taker_10             45     2,050,000     2,040,000       -0.5%
taker_10             60     2,080,000     2,080,000        0.0%
taker_10            100     1,960,000     1,950,000       -0.5%
taker_10            150     2,080,000     2,080,000        0.0%
taker_10            300     2,010,000     2,000,000       -0.5%
taker_30             30     2,760,000     2,760,000        0.0%
taker_30             45     3,030,000     3,030,000        0.0%
taker_30             60     3,170,000     3,160,000       -0.3%
taker_30            100     3,580,000     3,580,000        0.0%
taker_30            150     3,170,000     3,160,000       -0.3%
taker_30            300     2,980,000     2,980,000        0.0%

Cost of an executed trade (taker_1 + 5 x place/cancel), burned MIST

  depth     reference      measured       delta
-----------------------------------------------
      5     2,371,124     2,371,124        0.0%
     10     2,880,020     2,880,020        0.0%
     15     3,339,820     3,339,820        0.0%
     20     3,413,844     3,413,844        0.0%
     30     3,547,604     3,547,604        0.0%
     45     3,748,244     3,748,244        0.0%
     60     4,030,711     3,948,884       -2.0%
    100     4,252,884     4,252,884        0.0%
    150     4,313,684     4,313,684        0.0%
    300     4,277,204     4,277,204        0.0%

